Name,Story (ENSO...),Date,x,y,Date1,Date2,Date3,Longitude,Latitude,Tags,Link,Location
Fires in Indonesia,Causes severe drought that compounded by logging feeds the largest fire disaster ever observed. ,97/98,1055,316,50,90,,1.1299164,116.5731976,"Temperature, Precipitation",http://www.nature.com/nature/journal/v414/n6862/full/414437a0.html,"1.1299164, 116.5731976"
Landslides in Kenya,Triggers record rainfall that led to mudslides and $1 billion in estimated damages.,97/98,767,319,50,90,,0.086304,37.88422,"Temperature, Precipitation",http://link.springer.com/article/10.1007/s002540050425#page-1,"0.086304, 37.884220 "
Kelp Forests off California,Decimates giant kelp populations along North American coast.,97/98,232,177,50,90,,31.664454,-117.36914,"Plants, Ocean",http://bio.classes.ucsc.edu/bio161/Papers/Edwards_04_Oecologia.pdf,"31.664454, -117.369140 "
Rainfall in Southern Brazil,Causes wet anomalies in the spring before warm years and dry anomalies in the spring before cool years.,1910 to 1991,450,437,50,1900,70,-25.809707,-50.519412,Precipitation,http://www.icess.ucsb.edu/gem/Grimm.et.al.harmonic.dials.J.cliimate.pdf,"-25.809707, -50.519412 "
Galapagos Penguin,Results in a drastic 77% decline in penguin populations.,82/83,287,323,50,70,,-0.783563,-91.081661,Animals,http://www.sciencedirect.com/science/article/pii/S0006320705003095,"-0.783563, -91.081661 "
Coral in the Maldives,Linked to record low in coverage of Maldive-Chagos coral reefs.,97/98,900,336,50,90,,-3.240712,73.450195,Animals,http://www.sciencedirect.com/science/article/pii/S0025326X00000643,"-3.240712, 73.450195 "
Northern Anchovy off California,Reduces fish size and growth into 1984.,82/83,227,163,50,70,,34.751239,-120.920012,Animals,http://swfsc.noaa.gov/publications/CR/1986/8625.PDF,"34.751239, -120.920012 "
Livestock in Tanzania,Reshapes livestock populations through rainfall differences in highlands and lowlands.,,755,335,50,,,-2.899535,35.065339,"Animals, Economy",http://asprs.org/a/publications/pers/2000journal/june/2000_jun_737-744.pdf,"-2.899535, 35.065339 "
Plankton in Western Pacific,Shifts nutrient distribution and resulted in post-ENSO phytoplankton bloom.,87/88,1216,416,50,70,,-21.169754,166.159319,"Plants, Ocean",http://horizon.documentation.ird.fr/exl-doc/pleins_textes/pleins_textes_5/b_fdi_31-32/35686.pdf,"-21.169754, 166.159319 "
Seed Banks in Chile,Increases rainfall and drives 5 to 10 times higher seed densities in arid soil. ,91/92,383,457,50,90,,-30.667571,-71.668276,"Plants, Precipitation",http://www.ieb-chile.cl/otras_publicaciones/JGutierrez/Gutierrez_Meserve_2003_Oecologia.pdf,"-30.667571, -71.668276 "
Level of Caspian Sea,Tentatively linked via teleconnection to the drastic rise of the world's largest lake.,1978 to 1995,784,138,50,70,90,41.242334,51.210349,Precipitation,http://onlinelibrary.wiley.com/doi/10.1029/1999GL002374/pdf,"41.242334, 51.210349 "
Tuna in the Palmyra Atoll,Increases the catch rates of bigeye tuna fisherman.,1994 to 2003,20,311,50,90,20,5.875954,-162.051913,"Animals, Economy",http://www.soest.hawaii.edu/pfrp/reprints/howell_2006.pdf,"5.875954, -162.051913 "
Heat Wave and Wildfires in Russia,Exacerbates record heat and vast wildfires in Russia through a –blocking” anticyclone.,2010,722,87,50,20,,54.142681,36.005603,Precipitation,http://onlinelibrary.wiley.com/doi/10.1029/2012JD018020/full,"54.142681, 36.005603 "
Tibetan Plateau Snowfall,Linked via teleconnection to increased winter snowfall in Tibet - which weakens summer monsoons.,1978 to 1987,933,173,50,70,,32.991648,92.014076,Precipitation,http://ir.library.oregonstate.edu/xmlui/bitstream/handle/1957/27762/ShamanJeffrey.CEOAS.EffectENSOTibetan.pdf?sequence=1,"32.991648, 92.014076 "
