Name	Story (ENSO...)	Date	Location	Longitude	Latitude	Tags	Link
Fires in Indonesia	Causes severe drought that„compounded by logging„feeds the largest fire disaster ever observed. 	97/98	"1.1299164, 116.5731976"	1.1299164	116.5731976	"Temperature, Precipitation"	http://www.nature.com/nature/journal/v414/n6862/full/414437a0.html
Landslides in Kenya	Triggers record rainfall that led to mudslides and $1 billion in estimated damages.	97/98	"0.086304, 37.884220 "	0.086304	37.88422	"Temperature, Precipitation"	http://link.springer.com/article/10.1007/s002540050425#page-1
Kelp Forests off California	Decimates giant kelp populations along North American coast.	97/98	"31.664454, -117.369140 "	31.664454	-117.36914	"Plants, Ocean"	http://bio.classes.ucsc.edu/bio161/Papers/Edwards_04_Oecologia.pdf
Rainfall in Southern Brazil	"Causes wet anomalies in the spring before warm years, and dry anomalies in the spring before cool years."	1910 to 1991	"-25.809707, -50.519412 "	-25.809707	-50.519412	Precipitation	http://www.icess.ucsb.edu/gem/Grimm.et.al.harmonic.dials.J.cliimate.pdf
Galapagos Penguin	Results in a drastic 77% decline in penguin populations.	82/83	"-0.783563, -91.081661 "	-0.783563	-91.081661	Animals	http://www.sciencedirect.com/science/article/pii/S0006320705003095
Coral in the Maldives	Linked to record low in coverage of Maldive-Chagos coral reefs.	97/98	"-3.240712, 73.450195 "	-3.240712	73.450195	Animals	http://www.sciencedirect.com/science/article/pii/S0025326X00000643
Northern Anchovy off California	Reduces fish size and growth into 1984.	82/83	"34.751239, -120.920012 "	34.751239	-120.920012	Animals	http://swfsc.noaa.gov/publications/CR/1986/8625.PDF
Livestock in Tanzania	Reshapes livestock populations through rainfall differences in highlands and lowlands.		"-2.899535, 35.065339 "	-2.899535	35.065339	"Animals, Economy"	http://asprs.org/a/publications/pers/2000journal/june/2000_jun_737-744.pdf
Plankton in Western Pacific	Shifts nutrient distribution and resulted in post-ENSO phytoplankton bloom.	87/88	"-21.169754, 166.159319 "	-21.169754	166.159319	"Plants, Ocean"	http://horizon.documentation.ird.fr/exl-doc/pleins_textes/pleins_textes_5/b_fdi_31-32/35686.pdf
Seed Banks in Chile	Increases rainfall and drives 5 to 10 times higher seed densities in arid soil. 	91/92	"-30.667571, -71.668276 "	-30.667571	-71.668276	"Plants, Precipitation"	http://www.ieb-chile.cl/otras_publicaciones/JGutierrez/Gutierrez_Meserve_2003_Oecologia.pdf
Level of Caspian Sea	Tentatively linked via teleconnection to the drastic rise of the world's largest lake.	1978 to 1995	"41.242334, 51.210349 "	41.242334	51.210349	Precipitation	http://onlinelibrary.wiley.com/doi/10.1029/1999GL002374/pdf
Tibetan Plateau Snowfall	"Linked via teleconnection to increased winter snowfall in Tibet, which weakens summer monsoons."	1978 to 1987	"32.991648, 92.014076 "	32.991648	92.014076	Precipitation	http://ir.library.oregonstate.edu/xmlui/bitstream/handle/1957/27762/ShamanJeffrey.CEOAS.EffectENSOTibetan.pdf?sequence=1
Tuna in the Palmyra Atoll	Increases the catch rates of bigeye tuna fisherman.	1994 to 2003	"5.875954, -162.051913 "	5.875954	-162.051913	"Animals, Economy"	http://www.soest.hawaii.edu/pfrp/reprints/howell_2006.pdf
Heat Wave and Wildfires in Russia	Exacerbates record heat and vast wildfires in Russia through a ñblockingî anticyclone.	2010	"54.142681, 36.005603 "	54.142681	36.005603	Precipitation	http://onlinelibrary.wiley.com/doi/10.1029/2012JD018020/full
